,E_const
0.0,1.0000000339142205
0.010101010101010102,0.9992640849747064
0.020202020202020204,0.9970566235596222
0.030303030303030304,0.9933789137487768
0.04040404040404041,0.9882331204072651
0.05050505050505051,0.9816224850812512
0.06060606060606061,0.9735515195241707
0.07070707070707072,0.9640262225167864
0.08080808080808081,0.9530544954732949
0.09090909090909091,0.9406465781789681
0.10101010101010102,0.9268155849441828
0.11111111111111112,0.9115782861115168
0.12121212121212122,0.8949559656707747
0.13131313131313133,0.8769756244558985
0.14141414141414144,0.85767137488563
0.15151515151515152,0.8370862560225284
0.16161616161616163,0.8152745432107266
0.17171717171717174,0.7923045704443075
0.18181818181818182,0.7682624065665087
0.19191919191919193,0.7432563135118221
0.20202020202020204,0.7174224852474086
0.21212121212121213,0.6909320066046375
0.22222222222222224,0.6639994100928671
0.23232323232323235,0.6368927047546159
0.24242424242424243,0.6099447852708334
0.25252525252525254,0.5835651355414773
0.26262626262626265,0.5582501016658243
0.27272727272727276,0.5345877831624688
0.2828282828282829,0.5132520155542115
0.29292929292929293,0.4949775901897254
0.30303030303030304,0.480509684579549
0.31313131313131315,0.4705252659088774
0.32323232323232326,0.4655367693568914
0.33333333333333337,0.465802691696192
0.3434343434343435,0.4712766341462435
0.3535353535353536,0.4816161086363323
0.36363636363636365,0.4962475653624334
0.37373737373737376,0.5144615930306938
0.38383838383838387,0.5355068514302563
0.393939393939394,0.5586618513563032
0.4040404040404041,0.5832779559470016
0.4141414141414142,0.6087980309405516
0.42424242424242425,0.6347583284187184
0.43434343434343436,0.6607812464403212
0.4444444444444445,0.6865639791669766
0.4545454545454546,0.7118664497712572
0.4646464646464647,0.7364999460936738
0.4747474747474748,0.7603173272135728
0.48484848484848486,0.7832048349376612
0.494949494949495,0.8050753532459336
0.5050505050505051,0.8258631166396422
0.5151515151515152,0.8455193867122842
0.5252525252525253,0.8640091420086159
0.5353535353535354,0.8813083994656781
0.5454545454545455,0.8974021124110507
0.5555555555555556,0.9122825710008765
0.5656565656565657,0.925948100533704
0.5757575757575758,0.9384020653678948
