,C_const_aberto
0.0,0.6931471805599448
0.010101010101010102,0.6929714570920221
0.020202020202020204,0.6927243620247556
0.030303030303030304,0.6924054236221895
0.04040404040404041,0.6920142913896741
0.05050505050505051,0.691550623685799
0.06060606060606061,0.6910141943035816
0.07070707070707072,0.6904047937685074
0.08080808080808081,0.6897224173007283
0.09090909090909091,0.6889671886472427
0.10101010101010102,0.6881393940250753
0.11111111111111112,0.6872395235202395
0.12121212121212122,0.6862682868323337
0.13131313131313133,0.6852266370325086
0.14141414141414144,0.6841158037627312
0.15151515151515152,0.6829372951165394
0.16161616161616163,0.6816929401448014
0.17171717171717174,0.6803848737243028
0.18181818181818182,0.6790155763907026
0.19191919191919193,0.6775878692173274
0.20202020202020204,0.6761049136727055
0.21212121212121213,0.6745702265365585
0.22222222222222224,0.672987673007147
0.23232323232323235,0.6713614586014147
0.24242424242424243,0.66969612138329
0.25252525252525254,0.6679965166971427
0.26262626262626265,0.6662677921760715
0.27272727272727276,0.6645153659332239
0.2828282828282829,0.6627449022536184
0.29292929292929293,0.6609622796344214
0.30303030303030304,0.6591735655080085
0.31313131313131315,0.6573849678855966
0.32323232323232326,0.6556027955173426
0.33333333333333337,0.653833408996916
0.3434343434343435,0.6520831737306741
0.3535353535353536,0.6503584125278907
0.36363636363636365,0.6486653562987326
0.37373737373737376,0.6470101178476501
0.38383838383838387,0.6453986169211369
0.393939393939394,0.643836534326097
0.4040404040404041,0.6423292670895919
0.4141414141414142,0.6408818795395794
0.42424242424242425,0.6394990536163554
0.43434343434343436,0.6381850497030251
0.4444444444444445,0.6369436918707827
0.4545454545454546,0.6357783072033422
0.4646464646464647,0.634691698133739
0.4747474747474748,0.6336861366138141
0.48484848484848486,0.6327633453285545
0.494949494949495,0.6319244648800045
0.5050505050505051,0.631170051409119
0.5151515151515152,0.6305000691514426
0.5252525252525253,0.6299138926160943
0.5353535353535354,0.6294103117428993
0.5454545454545455,0.6289875777934675
0.5555555555555556,0.6286434304717599
0.5656565656565657,0.6283750886517521
0.5757575757575758,0.6281792944896226
0.5858585858585859,0.6280523274368076
